"Qty";"Value";"Device";"Package";"Parts";"Description";"CASE";"MF";"MONTHLY_USAGE";"MPN";"OC_FARNELL";"OC_NEWARK";"PART_NUMBER";"PRICE";"SUPPLIER";"TYPE";"VALUE";
"1";"";"0114_PH254-203DF118A00V";"2X03";"ICSP";"3x2 M V h 8,5 mm p2,54";"";"";"_____";"";"";"";"PH254-203DF118A00V";"_____";"_____";"Connettori";"ICSP";
"1";"";"AK500/4-H";"AK500/4-H";"X1";"CONNECTOR";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";
"1";"100R";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"100nF";"C-EUC0603";"C0603";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"3";"10K";"R-EU_R0603";"R0603";"R6, R8, R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"10nF/400V";"C-EU075-042X103";"C075-042X103";"C1";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uF";"C-EUC1206";"C1206";"C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"1K";"R-EU_R0603";"R0603";"R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"1uF";"C-EUC0603";"C0603";"C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"4";"200R";"R-EU_R1206";"R1206";"R2, R3, R12, R13";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"22-05-7028-02";"22-05-7028-02";"7395-02";"J1";"CONNECTOR";"";"";"";"";"9731601";"unknown";"";"";"";"";"";
"3";"3.0";"MOUNT-HOLE3.0";"3,0";"H1, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";
"1";"39R";"R-EU_0204/7";"0204/7";"R4";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"47K";"R-EU_R0603";"R0603";"R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"4K7";"R-EU_R0603";"R0603";"R10, R11";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"ATMEGA328P-AU";"0265_ATMEGA328P-AU";"TQFP32-08";"IC3";"8-bit Microcontroller with 32KBytes In-System Programmable Flash   ATMEGA328P-AU";"TQFP32_7x7";"";"_____";"";"";"";"ATMEGA328P-AU";"_____";"_____";"Circuito_Integrato";"ATMEGA328P-AU";
"1";"B3U-1000P";"0173_IT-1185AP1C-160G-G_T&R";"SMD_157SW";"S6";"Pushbutton 4x3 SMD H2,5mm";"";"";"_____";"";"";"";"IT-1185AP1C-160G-G_T&R";"_____";"_____";"Switches";"157SW";
"1";"BTA06400B";"BT136";"TO220AB";"T1";"Triac BT136 series E sensitive gate";"";"";"";"";"";"";"";"";"";"";"";
"1";"CSTCE16M0V53C-R0";"0011_CSTCE16M0V53-R0";"RESONATOR";"Y1";"16Mhz - SMD";"";"";"_____";"";"";"";"CSTCE16M0V53-R0";"_____";"_____";"Cristalli";"CSTCE16M0V53-R0";
"1";"DISPLAY-OLED-128X64-I2C";"DISPLAY-OLED-128X64-I2C";"DISPLAY-OLED-128X64-I2C";"OL1";"128x64 Dot Matrix OLED Module based on SSD1306 chip";"";"";"";"";"";"";"";"";"";"";"";
"1";"FUS";"FUSETE5";"TE5";"F1";"Fuse";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"1";"MOC3041";"IL410";"DIL06";"OK1";"SIEMENS OPTO COUPLER";"";"VISHAY/TELEFUNKEN";"";"IL410";"1045434";"58K1715";"";"";"";"";"";
"1";"OSHW-LOGOL";"OSHW-LOGOL";"ESCORNA_LBRESCORNA_CPU_2_10_SPARKFUN-AESTHETICS_OSHW-LOGO-L";"LOGO2";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";"";"";"";"";"";"";"";
"1";"ROTARTY_ENCODER";"ROTARTY_ENCODER";"ROTARY_ENC_PLAIN";"SW2";"Simple no LED rotary encoder";"";"";"";"";"";"";"";"";"";"";"";
"1";"RPDZN5W6H";"RPDZN5W6H";"RPDZN5W6H";"U1";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"XDESIG_XDESIG21";"XDESIG_XDESIG21";"XDESIG_XDESIG";"U$8";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"XDESIG_XDESIG5MM";"XDESIG_XDESIG5MM";"XDESIG_XDESIG_CU";"U$7";"";"";"";"";"";"";"";"";"";"";"";"";
